code,code_variant,rarity,type,life,name,color,cost,power,counter,feature,character_type,description,trigger,image
EB01-001,EB01-001,L,LEADER,4,Kouzuki Oden,Red/Green,,5000,-,Land of Wano/Kouzuki Clan,Slash,"All of your {Land of Wano} type Character cards without a Counter have a +1000 Counter, according to the rules.[DON!! x1] [When Attacking] If you have a {Land of Wano} type Character with a cost of 5 or more, this Leader gains +1000 power until the start of your next turn.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-001.png?240524
EB01-001,EB01-001_p1,L,LEADER,4,Kouzuki Oden,Red/Green,,5000,-,Land of Wano/Kouzuki Clan,Slash,"All of your {Land of Wano} type Character cards without a Counter have a +1000 Counter, according to the rules.[DON!! x1] [When Attacking] If you have a {Land of Wano} type Character with a cost of 5 or more, this Leader gains +1000 power until the start of your next turn.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-001_p1.png?240524
EB01-002,EB01-002,R,CHARACTER,,Izo,Red,5,7000,-,Land of Wano/Whitebeard Pirates,Ranged,"[On Play] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.[On Your Opponent's Attack] [Once Per Turn] You may trash 1 card from your hand: If your Leader has the {Land of Wano} or {Whitebeard Pirates} type, give up to 1 of your opponent's Leader or Character cards −2000 power during this turn.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-002.png?240524
EB01-003,EB01-003,R,CHARACTER,,Kid & Killer,Red,4,5000,-,Supernovas/Kid Pirates,Slash/Special,"[Rush] (This card can attack on the turn in which it is played.)[When Attacking] If your opponent has 2 or less Life cards, this Character gains +2000 power during this turn.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-003.png?240524
EB01-003,EB01-003_p1,R,CHARACTER,,Kid & Killer,Red,4,5000,-,Supernovas/Kid Pirates,Slash/Special,"[Rush] (This card can attack on the turn in which it is played.)[When Attacking] If your opponent has 2 or less Life cards, this Character gains +2000 power during this turn.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-003_p1.png?240524
EB01-004,EB01-004,C,CHARACTER,,Koza,Red,2,3000,1000,Alabasta,Ranged,[When Attacking] You may give your 1 active Leader −5000 power during this turn: Give up to 1 of your opponent's Characters −3000 power during this turn.,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-004.png?240524
EB01-005,EB01-005,C,CHARACTER,,Doma,Red,1,3000,1000,Whitebeard Pirates Allies,Slash,-,,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-005.png?240524
EB01-006,EB01-006,SR,CHARACTER,,Tony Tony.Chopper,Red,3,4000,1000,Animal/Straw Hat Crew,Strike,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters −3000 power during this turn.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-006.png?240524
EB01-006,EB01-006_p1,SR,CHARACTER,,Tony Tony.Chopper,Red,3,4000,1000,Animal/Straw Hat Crew,Strike,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters −3000 power during this turn.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-006_p1.png?240524
EB01-006,EB01-006_p2,SR,CHARACTER,,Tony Tony.Chopper,Red,3,4000,1000,Animal/Straw Hat Crew,Strike,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters −3000 power during this turn.",,https://en.onepiece-cardgame.com../images/cardlist/card/EB01-006_p2.png?240524
